Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Dementia	C0497327	CHMP2B	25978	Q9UQN3	charged multivesicular body protein 2B		177	0.543	0.731	4.6203e-06	0.19		1.0	9	0	2005.0	2016.0
Dementia	C0497327	SNCB	6620	Q16143	synuclein beta	Transporter	60	0.619	0.577	0.068062	0.17		1.0	7	0	2010.0	2018.0
Dementia	C0497327	ATP13A2	23400	Q9NQ11	ATPase cation transporting 13A2		160	0.566	0.577	8.9582e-09	0.17		1.0	7	0	2006.0	2019.0
Dementia	C0497327	SPAST	6683	Q9UBP0	spastin	Cellular structure	138	0.579	0.577	0.99939	0.16		1.0	6	0	1998.0	2011.0
Dementia	C0497327	GBA	2629	P04062	glucosylceramidase beta		319	0.5	0.808	1.4355e-06	0.16		1.0	6	3	2012.0	2018.0
Dementia	C0497327	FMR1	2332	Q06787	FMRP translational regulator 1	Nucleic acid binding	346	0.473	0.769	0.64718	0.16		1.0	6	0	2007.0	2014.0
Dementia	C0497327	PINK1	65018	Q9BXM7	PTEN induced kinase 1	Kinase	209	0.516	0.769	1.8749e-10	0.15		1.0	5	0	2005.0	2019.0
Dementia	C0497327	NOS3	4846	P29474	nitric oxide synthase 3		706	0.378	0.885	6.7246e-07	0.14		1.0	4	1	2011.0	2019.0
Dementia	C0497327	SERPINI1	5274	Q99574	serpin family I member 1	Enzyme modulator	58	0.631	0.462	0.026631	0.14		1.0	4	0	2004.0	2018.0
Dementia	C0497327	TTR	7276	P02766	transthyretin	Transporter	461	0.423	0.885	0.51566	0.14		0.75	4	1	2001.0	2015.0
Dementia	C0497327	TMEM106B	54664	Q9NUM4	transmembrane protein 106B		126	0.59	0.462	0.32576	0.13		0.667	3	0	2015.0	2018.0
Dementia	C0497327	ARSA	410	P15289	arylsulfatase A	Enzyme	376	0.448	0.923	1.0893e-11	0.13		1.0	3	0	1997.0	2019.0
Dementia	C0497327	ATXN2	6311	Q99700	ataxin 2	Nucleic acid binding	341	0.482	0.808	0.85289	0.13		1.0	3	0	1994.0	2017.0
Dementia	C0497327	TBP	6908	P20226	TATA-box binding protein	Transcription factor	158	0.552	0.846	0.015031	0.13		1.0	3	0	2001.0	2017.0
Dementia	C0497327	OPA1	4976	O60313	OPA1 mitochondrial dynamin like GTPase	Enzyme modulator	236	0.51	0.846	0.98636	0.12		1.0	2	0	2015.0	2018.0
Dementia	C0497327	WDR45	11152	Q9Y484	WD repeat domain 45		72	0.647	0.423	0.99145	0.12		1.0	2	0	2016.0	2019.0
Dementia	C0497327	NPC2	10577	P61916	NPC intracellular cholesterol transporter 2		81	0.612	0.769	0.0017755	0.12		1.0	2	0	2016.0	2017.0
Dementia	C0497327	JPH3	57338	Q8WXH2	junctophilin 3		90	0.608	0.538	0.99855	0.12		1.0	2	0	2007.0	2012.0
Dementia	C0497327	C19orf12	83636	Q9NSK7	chromosome 19 open reading frame 12		92	0.641	0.615	0.34416	0.12		1.0	2	0	2013.0	2019.0
Dementia	C0497327	ABCD1	215	P33897	ATP binding cassette subfamily D member 1	Transporter	154	0.563	0.731	0.99896	0.12		1.0	2	0	2007.0	2013.0
Dementia	C0497327	TRPM7	54822	Q96QT4	transient receptor potential cation channel subfamily M member 7	Ion channel	151	0.531	0.731	5.2086e-16	0.12		0.5	2	0	2005.0	2010.0
Dementia	C0497327	SNCAIP	9627	Q9Y6H5	synuclein alpha interacting protein		44	0.691	0.423	0.00032848	0.12		1.0	2	0	2007.0	2008.0
Dementia	C0497327	ATN1	1822	P54259	atrophin 1		499	0.409	0.885	0.99992	0.11		1.0	1	0	2015.0	2015.0
Dementia	C0497327	AARS2	57505	Q5JTZ9	alanyl-tRNA synthetase 2, mitochondrial	Nucleic acid binding	64	0.644	0.5	4.9777e-17	0.11		1.0	1	0	2018.0	2018.0
Dementia	C0497327	NPC1	4864	O15118	NPC intracellular cholesterol transporter 1	Transporter	220	0.518	0.692	6.5418e-06	0.11		1.0	1	0	2016.0	2016.0
Dementia	C0497327	NAGLU	4669	P54802	N-acetyl-alpha-glucosaminidase		152	0.546	0.769	1.3655e-08	0.11		1.0	1	2	2009.0	2009.0
Dementia	C0497327	MECP2	4204	P51608	methyl-CpG binding protein 2	Epigenetic regulator	664	0.414	0.846	0.89382	0.11		1.0	1	0	2018.0	2018.0
Dementia	C0497327	COX2	4513	P00403	cytochrome c oxidase subunit II	Enzyme	875	0.352	0.962		0.11		1.0	1	0	2006.0	2006.0
Dementia	C0497327	EIF4G1	1981	Q04637	eukaryotic translation initiation factor 4 gamma 1	Nucleic acid binding	139	0.553	0.808	1.0	0.11		1.0	1	0	2013.0	2013.0
Dementia	C0497327	EPM2A	7957	O95278	EPM2A glucan phosphatase, laforin		87	0.608	0.577	8.7182e-06	0.11		1.0	1	0	2002.0	2002.0
Dementia	C0497327	DCTN1	1639	Q14203	dynactin subunit 1	Chaperone	116	0.597	0.5	0.084251	0.11		1.0	1	0	2014.0	2014.0
Dementia	C0497327	CISD2	493856	Q8N5K1	CDGSH iron sulfur domain 2		106	0.59	0.692	0.41583	0.11		1.0	1	2	2015.0	2015.0
Dementia	C0497327	CTSF	8722	Q9UBX1	cathepsin F	Enzyme	33	0.716	0.462	1.9431e-13	0.11		1.0	1	0	2013.0	2013.0
Dementia	C0497327	SDHB	6390	P21912	succinate dehydrogenase complex iron sulfur subunit B	Enzyme	316	0.474	0.846	0.00024397	0.11		1.0	1	0	2018.0	2018.0
Dementia	C0497327	ATP7B	540	P35670	ATPase copper transporting beta	Transporter	182	0.529	0.654	4.8001e-30	0.11		1.0	1	0	2019.0	2019.0
Dementia	C0497327	HFE	3077	Q30201	homeostatic iron regulator		415	0.436	0.846	2.5587e-08	0.11		1.0	1	0	2014.0	2014.0
Dementia	C0497327	IRF6	3664	O14896	interferon regulatory factor 6	Transcription factor	233	0.486	0.769	0.99961	0.11		1.0	1	0	2018.0	2018.0
Dementia	C0497327	CLN6	54982	Q9NWW5	CLN6 transmembrane ER protein		59	0.67	0.231	0.00010025	0.11		1.0	1	0	2013.0	2013.0
Dementia	C0497327	CERS1	10715	P27544	ceramide synthase 1		49	0.638	0.385	0.096618	0.11		1.0	1	0	2014.0	2014.0
Dementia	C0497327	PPP2R2B	5521	Q00005	protein phosphatase 2 regulatory subunit Bbeta	Enzyme	86	0.601	0.577	0.98467	0.11		1.0	1	0	2001.0	2001.0
Dementia	C0497327	SPG21	51324	Q9NZD8	SPG21 abhydrolase domain containing, maspardin		46	0.695	0.5	0.00066076	0.11		1.0	1	0	2003.0	2003.0
Dementia	C0497327	HTT	3064	P42858	huntingtin		188	0.548	0.654	1.0	0.11		1.0	1	0	2016.0	2016.0
Dementia	C0497327	SOD1	6647	P00441	superoxide dismutase 1	Enzyme	689	0.379	0.962	0.1773	0.1		0.882	17	0	1980.0	2020.0
Dementia	C0497327	COX3	4514	P00414	cytochrome c oxidase III	Enzyme	195	0.546	0.808		0.1			0	0		
Dementia	C0497327	CYTB	4519	P00156	cytochrome b		166	0.529	0.808		0.1			0	0		
Dementia	C0497327	GLUD2	2747	P49448	glutamate dehydrogenase 2	Enzyme	52	0.678	0.423	0.03152	0.1			0	0		
Dementia	C0497327	TRNC	4511		tRNA		28	0.751	0.346		0.1			0	0		
Dementia	C0497327	ATP6	4508	P00846	ATP synthase F0 subunit 6	Transporter	226	0.541	0.731		0.1			0	0		
Dementia	C0497327	TYMP	1890	P19971	thymidine phosphorylase	Enzyme	246	0.495	0.769	0.00011694	0.1			0	0		
Dementia	C0497327	COX1	4512	P00395	cytochrome c oxidase subunit I	Enzyme	421	0.441	0.885		0.1			0	0		
Dementia	C0497327	MPO	4353	P05164	myeloperoxidase	Enzyme	653	0.377	0.923	7.105e-15	0.1			0	0		
Dementia	C0497327	WFS1	7466	O76024	wolframin ER transmembrane glycoprotein		185	0.528	0.846	1.6231e-38	0.1			0	0		
Dementia	C0497327	MCIDAS	345643	D6RGH6	multiciliate differentiation and DNA synthesis associated cell cycle protein		119	0.566	0.769	0.013264	0.1		0.973	75	0	1998.0	2020.0
Dementia	C0497327	XPR1	9213	Q9UBH6	xenotropic and polytropic retrovirus receptor 1	Transporter	217	0.488	0.731	0.99999	0.1			0	0		
Dementia	C0497327	SLC13A5	284111	Q86YT5	solute carrier family 13 member 5	Transporter	106	0.608	0.577	0.00050598	0.1			0	0		
Dementia	C0497327	TIMM8A	1678	O60220	translocase of inner mitochondrial membrane 8A		200	0.51	0.846	0.65195	0.1			0	0		
Dementia	C0497327	TRNQ	4572		tRNA		137	0.59	0.731		0.1			0	0		
Dementia	C0497327	TRNL1	4567		tRNA		234	0.534	0.731		0.1			0	0		
Dementia	C0497327	DGUOK	1716	Q16854	deoxyguanosine kinase	Kinase	112	0.593	0.5	3.7122e-07	0.1			0	0		
Dementia	C0497327	TRNK	4566		tRNA		135	0.608	0.577		0.1			0	0		
Dementia	C0497327	ROGDI	79641	Q9GZN7	rogdi atypical leucine zipper		61	0.663	0.462	2.5516e-09	0.1			0	0		
Dementia	C0497327	TRNF	4558		tRNA		148	0.582	0.731		0.1			0	0		
Dementia	C0497327	SLC2A3	6515	P11169	solute carrier family 2 member 3	Transporter	144	0.534	0.769	0.010333	0.1			0	0		
Dementia	C0497327	TRNE	4556		tRNA		83	0.647	0.692		0.1			0	0		
Dementia	C0497327	ND6	4541	P03923	NADH dehydrogenase, subunit 6 (complex I)		224	0.544	0.808		0.1			0	0		
Dementia	C0497327	HLA-DQB1	3119	P01920	major histocompatibility complex, class II, DQ beta 1	Immune response	504	0.407	0.885	0.0089259	0.1			0	0		
Dementia	C0497327	ND5	4540	P03915	NADH dehydrogenase, subunit 5 (complex I)	Enzyme	241	0.531	0.769		0.1			0	0		
Dementia	C0497327	SDHAF1	644096	A6NFY7	succinate dehydrogenase complex assembly factor 1		88	0.656	0.462	0.087043	0.1			0	0		
Dementia	C0497327	ND1	4535	P03886	NADH dehydrogenase, subunit 1 (complex I)	Enzyme	260	0.522	0.769		0.1			0	0		
Dementia	C0497327	IRF2BPL	64207	Q9H1B7	interferon regulatory factor 2 binding protein like		120	0.631	0.462	0.83623	0.1			0	1		
Dementia	C0497327	IGFALS	3483	P35858	insulin like growth factor binding protein acid labile subunit	Receptor	203	0.511	0.846	5.4379e-11	0.1		0.933	15	0	1980.0	2020.0
Dementia	C0497327	ALDH18A1	5832	P54886	aldehyde dehydrogenase 18 family member A1	Enzyme	206	0.551	0.769	0.00081212	0.1			0	0		
Dementia	C0497327	SMUG1	23583	Q53HV7	single-strand-selective monofunctional uracil-DNA glycosylase 1		1034	0.322	0.923	0.00045154	0.1		0.941	17	1	2017.0	2019.0
Dementia	C0497327	SDHA	6389	P31040	succinate dehydrogenase complex flavoprotein subunit A	Enzyme	246	0.517	0.731	2.6088e-10	0.1			0	0		
Dementia	C0497327	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.1		0.974	39	0	1997.0	2020.0
Dementia	C0497327	ATXN10	25814	Q9UBB4	ataxin 10		69	0.65	0.385	0.00034514	0.1			0	0		
Dementia	C0497327	DNAJC13	23317	O75165	DnaJ heat shock protein family (Hsp40) member C13		68	0.682	0.577	1.0	0.1			0	0		
Dementia	C0497327	FBXO7	25793	Q9Y3I1	F-box protein 7		76	0.65	0.769	5.7858e-07	0.1			0	0		
Dementia	C0497327	FTL	2512	P02792	ferritin light chain	Storage	135	0.559	0.692	1.6617e-09	0.1			0	0		
Dementia	C0497327	TARDBP	23435	Q13148	TAR DNA binding protein		245	0.493	0.808	0.98542	0.1		0.935	31	2	2007.0	2020.0
Dementia	C0497327	ATXN8OS	6315	P0DMR3	ATXN8 opposite strand lncRNA		91	0.65	0.423		0.1			0	0		
Dementia	C0497327	BACE1	23621	P56817	beta-secretase 1	Enzyme	120	0.559	0.769	0.87888	0.1		0.9	10	0	2006.0	2019.0
Dementia	C0497327	ATP6V0A2	23545	Q9Y487	ATPase H+ transporting V0 subunit a2	Transporter	158	0.57	0.692	2.6314e-11	0.1			0	0		
Dementia	C0497327	NHLRC1	378884	Q6VVB1	NHL repeat containing E3 ubiquitin protein ligase 1		56	0.656	0.423	0.094266	0.1			0	0		
Dementia	C0497327	LAMC2	3918	Q13753	laminin subunit gamma 2	Enzyme modulator	602	0.389	0.923	2.8791e-12	0.1		0.978	46	0	2017.0	2020.0
Dementia	C0497327	SDHD	6392	O14521	succinate dehydrogenase complex subunit D	Transporter	348	0.472	0.885	0.33697	0.1			0	0		
Dementia	C0497327	NECTIN2	5819	Q92692	nectin cell adhesion molecule 2		106	0.575	0.769	0.96926	0.1		1.0	1	1	2014.0	2014.0
Dementia	C0497327	A2M	2	P01023	alpha-2-macroglobulin	Enzyme modulator	147	0.529	0.769	4.5229e-11	0.1			0	0		
Dementia	C0497327	GBE1	2632	Q04446	1,4-alpha-glucan branching enzyme 1	Enzyme	102	0.612	0.654	1.1497e-12	0.1			0	0		
Dementia	C0497327	HEXA	3073	P06865	hexosaminidase subunit alpha	Enzyme	79	0.633	0.615	1.3405e-11	0.1			0	0		
Dementia	C0497327	IL1B	3553	P01584	interleukin 1 beta		1801	0.276	0.962	0.13005	0.1		0.8	10	2	1993.0	2012.0
Dementia	C0497327	ACHE	43	P22303	acetylcholinesterase (Cartwright blood group)	Enzyme	418	0.445	0.885	0.99827	0.1		0.929	28	0	2002.0	2020.0
Dementia	C0497327	ESR1	2099	P03372	estrogen receptor 1	Nuclear receptor	1101	0.324	0.962	0.9992	0.1		0.9	10	3	1999.0	2018.0
Dementia	C0497327	ATXN3	4287	P54252	ataxin 3	Enzyme	207	0.521	0.808	0.10575	0.1			0	0		
Dementia	C0497327	GIGYF2	26058	Q6Y7W6	GRB10 interacting GYF protein 2		54	0.711	0.269	1.0	0.1			0	0		
Dementia	C0497327	MMACHC	25974	Q9Y4U1	metabolism of cobalamin associated C		76	0.644	0.615	1.1402e-13	0.1			0	0		
Dementia	C0497327	ASAH1	427	Q13510	N-acylsphingosine amidohydrolase 1	Enzyme	176	0.526	0.808	1.2588e-12	0.1			0	0		
Dementia	C0497327	RNF216	54476	Q9NWF9	ring finger protein 216		47	0.67	0.615	2.2561e-06	0.1			0	0		
Dementia	C0497327	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.1		0.938	16	0	1998.0	2020.0
Dementia	C0497327	GBA2	57704	Q9HCG7	glucosylceramidase beta 2		79	0.636	0.654	1.9892e-20	0.1			0	0		
Dementia	C0497327	TNF	7124	P01375	tumor necrosis factor	Signaling	2724	0.231	0.962	0.8033	0.1		0.867	15	1	1993.0	2020.0
Dementia	C0497327	BDNF	627	P23560	brain derived neurotrophic factor	Signaling	992	0.345	0.923	0.65626	0.1		1.0	30	2	2007.0	2020.0
Dementia	C0497327	CHI3L1	1116	P36222	chitinase 3 like 1		420	0.419	0.885	1.1133e-05	0.1		1.0	12	0	2017.0	2020.0
Dementia	C0497327	ATP6V1A	523	P38606	ATPase H+ transporting V1 subunit A	Transporter	147	0.579	0.615	0.86801	0.1			0	0		
Dementia	C0497327	OSBPL1A	114876	Q9BXW6	oxysterol binding protein like 1A		16	0.769	0.346	2.576e-07	0.1		1.0	1	1	2014.0	2014.0
Dementia	C0497327	TUBB4A	10382	P04350	tubulin beta 4A class IVa	Cellular structure	107	0.608	0.615	0.1091	0.1			0	0		
Dementia	C0497327	ERCC8	1161	Q13216	ERCC excision repair 8, CSA ubiquitin ligase complex subunit		175	0.551	0.885	2.7974e-15	0.1			0	0		
Dementia	C0497327	CDR1	1038	P51861	cerebellar degeneration related protein 1		87	0.576	0.808		0.1		1.0	13	0	2013.0	2019.0
Dementia	C0497327	CLN3	1201	Q13286	CLN3 lysosomal/endosomal transmembrane protein, battenin	Transporter	120	0.572	0.692	1.3327e-07	0.1			0	0		
Dementia	C0497327	VPS13C	54832	Q709C8	vacuolar protein sorting 13 homolog C		71	0.653	0.346	7.6491e-49	0.1			0	0		
Dementia	C0497327	ADH1C	126	P00326	alcohol dehydrogenase 1C (class I), gamma polypeptide	Enzyme	146	0.547	0.731		0.1			0	0		
Dementia	C0497327	ATP6V1E1	529	P36543	ATPase H+ transporting V1 subunit E1	Transporter	105	0.61	0.769	0.528	0.1			0	0		
Dementia	C0497327	APTX	54840	Q7Z2E3	aprataxin	Nucleic acid binding	94	0.59	0.5	3.9924e-10	0.1			0	0		
Dementia	C0497327	SCARB2	950	Q14108	scavenger receptor class B member 2	Receptor	103	0.606	0.615	8.9495e-05	0.1			0	0		
Dementia	C0497327	NR4A2	4929	P43354	nuclear receptor subfamily 4 group A member 2	Nuclear receptor	166	0.529	0.846	0.99959	0.1			0	0		
Dementia	C0497327	ADA2	51816	Q9NZK5	adenosine deaminase 2	Enzyme	165	0.545	0.846	8.1396e-08	0.1			0	0		
Dementia	C0497327	GM2A	2760	P17900	GM2 ganglioside activator	Transporter	66	0.678	0.692	0.03103	0.1			0	0		
Dementia	C0497327	TWNK	56652	Q96RR1	twinkle mtDNA helicase	Enzyme	245	0.516	0.692	0.0032311	0.1			0	0		
Dementia	C0497327	PRDM8	56978	Q9NQV8	PR/SET domain 8		39	0.678	0.462	0.77626	0.1			0	0		
Dementia	C0497327	RRM2B	50484	Q7LG56	ribonucleotide reductase regulatory TP53 inducible subunit M2B	Enzyme	238	0.527	0.769	0.002357	0.1			0	0		
Dementia	C0497327	PRDX1	5052	Q06830	peroxiredoxin 1	Enzyme	237	0.485	0.846	7.6959e-10	0.1			0	0		
Dementia	C0497327	PNPLA6	10908	Q8IY17	patatin like phospholipase domain containing 6	Enzyme	167	0.533	0.769	1.94e-13	0.1			0	0		
Dementia	C0497327	PSAP	5660	P07602	prosaposin		189	0.532	0.846	0.99051	0.1			0	0		
Dementia	C0497327	TREX1	11277	Q9NSU2	three prime repair exonuclease 1		241	0.517	0.808	0.57528	0.1			0	0		
Dementia	C0497327	MBTPS2	51360	O43462	membrane bound transcription factor peptidase, site 2	Enzyme	205	0.513	0.769	0.99752	0.1			0	0		
Dementia	C0497327	PDGFB	5155	P01127	platelet derived growth factor subunit B	Signaling	301	0.488	0.846	0.77006	0.1			0	0		
Dementia	C0497327	VPS35	55737	Q96QK1	VPS35 retromer complex component	Transporter	66	0.656	0.5	0.96921	0.1			0	0		
Dementia	C0497327	NEFL	4747	P07196	neurofilament light		247	0.488	0.769		0.1		0.929	14	0	2017.0	2019.0
Dementia	C0497327	PLAU	5328	P00749	plasminogen activator, urokinase	Enzyme	439	0.425	0.923	2.3058e-06	0.1			0	0		
Dementia	C0497327	PANK2	80025	Q9BZ23	pantothenate kinase 2	Kinase	171	0.559	0.808	7.4034e-07	0.1			0	1		
Dementia	C0497327	POLG	5428	P54098	DNA polymerase gamma, catalytic subunit	Enzyme	462	0.457	0.846	2.0756e-09	0.1			0	1		
Dementia	C0497327	PRICKLE1	144165	Q96MT3	prickle planar cell polarity protein 1	Cellular structure	57	0.647	0.615	0.99999	0.1			0	0		
Dementia	C0497327	KCTD7	154881	Q96MP8	potassium channel tetramerization domain containing 7	Enzyme modulator	68	0.65	0.423	0.00063083	0.1			0	0		
Dementia	C0497327	MATR3	9782	P43243	matrin 3		92	0.631	0.538	1.0	0.1			0	0		
Dementia	C0497327	NDP	4693	Q00604	norrin cystine knot growth factor NDP		142	0.566	0.692	0.65042	0.1			0	0		
Dementia	C0497327	CUBN	8029	O60494	cubilin		103	0.587	0.769	4.6292e-42	0.1			0	0		
Dementia	C0497327	TRNV	4577		tRNA		80	0.67	0.423		0.1			0	0		
Dementia	C0497327	CSTB	1476	P04080	cystatin B	Enzyme modulator	155	0.53	0.692	0.0065562	0.1			0	0		
Dementia	C0497327	DNAJC5	80331	Q9H3Z4	DnaJ heat shock protein family (Hsp40) member C5		52	0.653	0.5	0.81216	0.1			0	0		
Dementia	C0497327	CSF2	1437	P04141	colony stimulating factor 2	Signaling	1028	0.33	0.962	0.83468	0.1		0.979	47	0	2002.0	2020.0
Dementia	C0497327	TRNW	4578		tRNA		188	0.563	0.731		0.1			0	0		
Dementia	C0497327	CRP	1401	P02741	C-reactive protein		1483	0.299	0.962	0.0036969	0.1		1.0	15	1	2006.0	2020.0
Dementia	C0497327	TRNS1	4574		tRNA		186	0.555	0.808		0.1			0	0		
Dementia	C0497327	DNM1L	10059	O00429	dynamin 1 like	Enzyme modulator	273	0.475	0.808	0.00056753	0.1			0	0		
Dementia	C0497327	AMN	81693	Q9BXJ7	amnion associated transmembrane protein		43	0.678	0.577	0.00026529	0.1			0	0		
Dementia	C0497327	ACE	1636	P12821	angiotensin I converting enzyme	Enzyme	1082	0.328	0.923	1.0344e-37	0.1		0.846	26	4	1997.0	2020.0
Dementia	C0497327	TRNS2	4575		tRNA		152	0.579	0.731		0.1			0	0		
Dementia	C0497327	SMOX	54498	Q9NWM0	spermine oxidase		91	0.603	0.769	0.39964	0.1		1.0	1	1	2014.0	2014.0
Dementia	C0497327	CYP27A1	1593	Q02318	cytochrome P450 family 27 subfamily A member 1	Enzyme	167	0.538	0.731	5.2916e-19	0.1			0	0		
Dementia	C0497327	COMT	1312	P21964	catechol-O-methyltransferase	Enzyme	622	0.4	0.923	1.1377e-06	0.09		0.778	9	1	2005.0	2019.0
Dementia	C0497327	CLU	1191	P10909	clusterin		412	0.426	0.885	7.8072e-05	0.08		0.875	8	2	1998.0	2019.0
Dementia	C0497327	IL1A	3552	P01583	interleukin 1 alpha		1002	0.333	0.962	0.0001602	0.08		0.875	8	1	2003.0	2013.0
Dementia	C0497327	IGF1	3479	P05019	insulin like growth factor 1		1206	0.318	0.885	0.2716	0.08		0.875	8	0	2002.0	2019.0
Dementia	C0497327	PAEP	5047	P09466	progestagen associated endometrial protein	Enzyme	397	0.43	0.846	3.1109e-08	0.07		1.0	7	0	2017.0	2020.0
Dementia	C0497327	MTHFR	4524	P42898	methylenetetrahydrofolate reductase		985	0.337	0.885	3.2068e-10	0.07		0.857	7	2	1997.0	2016.0
Dementia	C0497327	SERPINA3	12	P01011	serpin family A member 3	Enzyme modulator	229	0.486	0.846	8.833e-14	0.07		0.714	7	0	1997.0	2018.0
Dementia	C0497327	AKR1C4	1109	P17516	aldo-keto reductase family 1 member C4	Enzyme	76	0.587	0.846	2.2341e-17	0.06		1.0	6	0	2013.0	2019.0
Dementia	C0497327	UBQLN2	29978	Q9UHD9	ubiquilin 2		59	0.656	0.462	0.84968	0.06		1.0	6	1	2011.0	2019.0
Dementia	C0497327	NHS	4810	Q6T4R5	NHS actin remodeling regulator		295	0.466	0.846	0.99999	0.06		1.0	6	0	2017.0	2019.0
Dementia	C0497327	CCL2	6347	P13500	C-C motif chemokine ligand 2	Signaling	1157	0.321	0.962	0.60786	0.06		1.0	6	0	2002.0	2020.0
Dementia	C0497327	LEP	3952	P41159	leptin		931	0.349	0.846	0.46491	0.06		1.0	6	0	2015.0	2019.0
Dementia	C0497327	ITIH4	3700	Q14624	inter-alpha-trypsin inhibitor heavy chain 4	Enzyme modulator	129	0.559	0.769	6.4352e-13	0.06		1.0	6	0	2005.0	2019.0
Dementia	C0497327	PON1	5444	P27169	paraoxonase 1		496	0.409	0.885	9.8142e-11	0.06		1.0	6	2	2004.0	2018.0
Dementia	C0497327	ALB	213	P02768	albumin	Transporter	1198	0.317	0.962	0.64329	0.06		0.833	6	0	1998.0	2019.0
Dementia	C0497327	RUNX1T1	862	Q06455	RUNX1 partner transcriptional co-repressor 1	Transcription factor	137	0.53	0.808	0.97768	0.06		1.0	6	0	2013.0	2019.0
Dementia	C0497327	SLC6A4	6532	P31645	solute carrier family 6 member 4	Transporter	440	0.429	0.808	0.24602	0.05		1.0	5	0	1998.0	2010.0
