Disease	Disease_id	Gene	Gene_id	Score_gda	Association_Type	 Type	Original_DB	Sentence	PMID	PMID_Year
Dementia	C0497327	TSC2	7249	0.01	Biomarker		BEFREE	"Here, we report for the first time that <span class=""gene"" id=""18320306-2-40-47"">tuberin</span> dysfunction may represent a mechanism for neuronal damage in Alzheimer's disease (AD), Parkinson's disease with <span class=""disease"" id=""18320306-2-160-168"">dementia</span> (PD/DLB), and a mouse model of PD."	18320306.0	2008.0
Dementia	C0497327	NOTCH3	4854	0.5	Biomarker		BEFREE	"<span class=""gene"" id=""22033996-2-0-7"">CADASIL</span> is considered a unique model to investigate migraine with aura, stroke, and <span class=""disease"" id=""22033996-2-84-92"">dementia</span> related to ischemic small vessel disease."	22033996.0	2012.0
Dementia	C0497327	APOE	348	0.2	AlteredExpression		BEFREE	"In order to study <span class=""disease"" id=""11173875-1-18-61"">progressive dementia in Alzheimer's disease</span> (AD) patients, we analyzed the gene expression of <span class=""gene"" id=""11173875-1-112-128"">apolipoprotein E</span> (<span class=""gene"" id=""11173875-1-130-134"">apoE</span>)."	11173875.0	2001.0
Dementia	C0497327	COMT	1312	0.09	GeneticVariation		BEFREE	"The aim of this study was to investigate the effect of a functional <span class=""gene"" id=""18387741-3-68-72"">COMT</span> (<span class=""variant"" dbSNP=""rs4680"" genes_norm=""1312"">Val158Met</span>) polymorphism on several cognition domains in a relatively homogeneous population consisting of elderly Chinese males without <span class=""disease"" id=""18387741-3-210-218"">dementia</span>."	18387741.0	2008.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"These results suggest that <span class=""negexp""><span class=""negexp"">declines</span></span> in odor identification occur before <span class=""negexp""><span class=""negexp"">declines</span></span> in other measures of <span class=""disease"" id=""15919549-6-102-110"">dementia</span> in persons at risk for AD because of their <span class=""gene"" id=""15919549-6-154-158"">APOE</span> allele genetic status."	15919549.0	2005.0
Dementia	C0497327	GRN	2896	0.5	Biomarker		BEFREE	"<span class=""gene"" id=""29889573-0-0-11"">Progranulin</span> as a therapeutic target for <span class=""disease"" id=""29889573-0-40-48"">dementia</span>."	29889573.0	2018.0
Dementia	C0497327	FUS	2521	0.38	Biomarker		BEFREE	"The DNA/RNA-binding proteins TDP-43 and <span class=""gene"" id=""22848727-1-40-43"">FUS</span> are found in protein aggregates in a growing number of neurodegenerative diseases, including amyotrophic lateral sclerosis (ALS) and related <span class=""disease"" id=""22848727-1-185-193"">dementia</span>, but little is known about the neurotoxic mechanisms."	22848727.0	2012.0
Dementia	C0497327	PLA2G7	7941	0.03	AlteredExpression		BEFREE	"C-reactive protein (HR = 1.37 [1.05; 1.78]), interleukin-6 (HR = 1.40 [1.13; 1.73]), α1-antichymotrypsin (HR = 1.54 [1.14; 2.80]), <span class=""gene"" id=""29605221-6-131-170"">lipoprotein-associated phospholipase A2</span> activity (HR = 1.40 [1.03; 1.90]), and fibrinogen were each associated with all-cause <span class=""disease"" id=""29605221-6-257-265"">dementia</span>, but neither was significantly associated with AD."	29605221.0	2018.0
Dementia	C0497327	SERPINA1	5265	0.03	Biomarker		BEFREE	"The formation of polymers underlies the retention of <span class=""gene"" id=""19245336-3-53-73"">alpha(1)-antitrypsin</span> within hepatocytes and of neuroserpin within neurons to cause cirrhosis and <span class=""disease"" id=""19245336-3-150-158"">dementia</span>, respectively."	19245336.0	2009.0
Dementia	C0497327	APOE	348	0.2	Biomarker		BEFREE	"<span class=""gene"" id=""15079025-5-0-4"">APOE</span> is <span class=""negexp"">not strongly related</span> to vascular diseases, but contributes substantially to <span class=""disease"" id=""15079025-5-84-92"">dementia</span> incidence."	15079025.0	2004.0
Dementia	C0497327	AGER	177	0.04	GeneticVariation		BEFREE	"<span class=""variant"" dbSNP=""s2070600;rs1416580204;rs2070600"" genes_norm=""177;5891"">G82S</span> polymorphism of <span class=""gene"" id=""30389362-0-21-65"">receptor for advanced glycation end products</span> gene and serum soluble <span class=""gene"" id=""30389362-0-89-93"">RAGE</span> levels in mild cognitive impairment and <span class=""disease"" id=""30389362-0-134-142"">dementia</span> of Alzheimer's type patients in Turkish population."	30389362.0	2019.0
Dementia	C0497327	RAP1GDS1	5910	0.01	Biomarker		BEFREE	"<span class=""disease"" id=""28866990-4-0-8"">Dementia</span> severity was categorized based on the Global Deterioration Scale (GDS), with a dichotomization of very severe dementia (GDS 7) and others (<span class=""gene"" id=""28866990-4-148-153"">GDS 1</span>-6)."	28866990.0	2017.0
Dementia	C0497327	BACE1	23621	0.1	AlteredExpression		BEFREE	"Our work provides a new insight that <span class=""gene"" id=""24935721-11-37-42"">BACE1</span> overexpression <span class=""negexp"">not only promotes neuritic plaque formation but may also potentiate neurodegeneration mediated</span> by SET elevation in Alzheimer-associated <span class=""disease"" id=""24935721-11-194-202"">dementia</span> in DS."	24935721.0	2015.0
Dementia	C0497327	BDNF	627	0.1	AlteredExpression		BEFREE	"Lower <span class=""gene"" id=""25737042-8-6-10"">BDNF</span> and NGF levels were also observed in the sub-sample of MCI patients who progressed to <span class=""disease"" id=""25737042-8-97-105"">dementia</span> upon follow-up (p = 0.02 and p = 0.002, respectively)."	25737042.0	2015.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"The association between the <span class=""gene"" id=""28550258-1-28-44"">apolipoprotein E</span> (<span class=""gene"" id=""28550258-1-46-54"">APOE) ɛ4</span> allele and high risk of developing Alzheimer's disease (AD) <span class=""disease"" id=""28550258-1-115-123"">dementia</span> before the age of 80 has been recognized for over 30 years."	28550258.0	2017.0
Dementia	C0497327	APOE	348	0.2	Biomarker		BEFREE	"This study shows the relevance of polymorphisms in APOB (odds ratio (OR), 1.17; 95% confidence interval (95% CI), 0.74-1.85), APOC3 (OR, 1.33; 95% CI, 0.82-2.17) and <span class=""gene"" id=""29081697-3-166-170"">APOE</span> (OR, 1.75; 95% CI, 1.09-2.80), as genetic risk markers for hypercholesterolemia; polymorphisms in ACE (OR, 1.68; 95% CI, 0.32-8.77) and AGT (OR, 1.74; 95% CI, 0.97-3.14) for hypertension; and in <span class=""gene"" id=""29081697-3-366-370"">APOE</span>*3/*4 (OR, 2.06; 95% CI, 1.70-2.51) and <span class=""gene"" id=""29081697-3-410-416"">APOE*4</span>/*4 (OR, 3.08; 95% CI, 1.85-5.12) as unambiguous markers of <span class=""disease"" id=""29081697-3-476-484"">dementia</span>."	29081697.0	2017.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"<span class=""gene"" id=""7668834-1-0-16"">Apolipoprotein E</span> allele 4 (apo E epsilon 4) is known to be in genetic disequilibrium with Alzheimer's disease and is associated with an earlier age at onset of <span class=""disease"" id=""7668834-1-160-168"">dementia</span>."	7668834.0	1995.0
Dementia	C0497327	ITM2B	9445	0.2	Biomarker		BEFREE	"Collectively, these results indicate a dual physiological role of <span class=""gene"" id=""30890756-8-66-71"">Itm2b</span> in the regulation of excitatory synaptic transmission at both presynaptic termini and postsynaptic termini and suggest that presynaptic and postsynaptic dysfunctions may be a pathogenic event leading to <span class=""disease"" id=""30890756-8-275-283"">dementia</span> and neurodegeneration in FDD and <span class=""gene"" id=""30890756-8-317-320"">FBD</span>."	30890756.0	2019.0
Dementia	C0497327	SIRT1	23411	0.05	Biomarker		BEFREE	"To explore the alterations in serum <span class=""gene"" id=""30361109-3-36-41"">SIRT1</span> concentrations in acute ischemic stroke (AIS) patients and the relationship between <span class=""gene"" id=""30361109-3-126-131"">SIRT1</span> and poststroke <span class=""disease"" id=""30361109-3-147-155"">dementia</span>, anxiety, and depression."	30361109.0	2019.0
Dementia	C0497327	PSEN1	5663	0.2	GeneticVariation		BEFREE	"Novel <span class=""gene"" id=""11030797-0-6-18"">presenilin 1</span> mutations associated with early onset of <span class=""disease"" id=""11030797-0-60-68"">dementia</span> in a family with both early-onset and late-onset Alzheimer disease."	11030797.0	2000.0
Dementia	C0497327	MCIDAS	345643	0.1	Biomarker		BEFREE	"We found that AD8 can show <span class=""disease"" id=""29923472-9-27-35"">dementia</span> and <span class=""gene"" id=""29923472-9-40-43"">MCI</span> when the cut-off values are ≥5 and 3-4, respectively, with a sensitivity of 100% and 81.67% and specificity of 96.3% and 93.59%."	29923472.0	2019.0
Dementia	C0497327	GRN	2896	0.5	Biomarker		LHGDN	Null mutations in progranulin cause ubiquitin-positive frontotemporal dementia linked to chromosome 17q21.	16862115.0	2006.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"<span class=""gene"" id=""9681640-0-0-5"">Apo E</span> and Apo CI loci are associated with <span class=""disease"" id=""9681640-0-42-50"">dementia</span> in younger but not older late-onset cases."	9681640.0	1998.0
Dementia	C0497327	APOE	348	0.2	Biomarker		BEFREE	"As neither adjusting nor stratification for atherosclerosis altered the association of <span class=""gene"" id=""10534277-3-87-91"">APOE</span> with <span class=""disease"" id=""10534277-3-97-105"">dementia</span>, our study suggests that atherosclerosis is <span class=""negexp"">not an intermediate factor</span>."	10534277.0	1999.0
Dementia	C0497327	PSEN1	5663	0.2	Biomarker		HPO			
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"<span class=""gene"" id=""10705163-0-0-16"">Apolipoprotein E</span> genotype and lipid and lipoprotein levels in <span class=""disease"" id=""10705163-0-62-70"">dementia</span>."	10705163.0	2000.0
Dementia	C0497327	C9orf72	203228	0.2	GeneticVariation		BEFREE	"The phenotypic spectrum of <span class=""gene"" id=""25467142-2-27-34"">C9ORF72</span> hexanucleotide repeat expansion mutation has been reported to include parkinsonian syndrome, Huntington's disease-like syndrome and <span class=""disease"" id=""25467142-2-167-175"">dementia</span> syndrome."	25467142.0	2014.0
Dementia	C0497327	APP	351	0.7	GeneticVariation		BEFREE	"Here, we describe a novel missense mutation in the <span class=""gene"" id=""22514144-1-51-76"">amyloid precursor protein</span> (<span class=""gene"" id=""22514144-1-78-81"">APP</span>) causing a <span class=""variant"" dbSNP=""rs63750151"" genes_norm=""351"">lysine-to-asparagine substitution at position 687</span> (APP770; herein, referred to as <span class=""variant"" dbSNP=""rs529782627"" genes_norm=""351"">K16N</span> according to amyloid-β (Aβ) numbering) resulting in an early onset <span class=""disease"" id=""22514144-1-247-255"">dementia</span> with an autosomal dominant inheritance pattern."	22514144.0	2012.0
Dementia	C0497327	RNF216	54476	0.1	Biomarker		HPO			
Dementia	C0497327	GRN	2896	0.5	GeneticVariation		LHGDN	"It also demonstrates that half of the patients with a <span class=""gene"" id=""17436289-10-54-58"">PGRN</span> mutation in our series had no apparent family history of <span class=""disease"" id=""17436289-10-116-124"">dementia</span>."	17436289.0	2007.0
Dementia	C0497327	CRP	1401	0.1	Biomarker		LHGDN	"The T allele of the <span class=""gene"" id=""16854501-8-20-38"">C-reactive protein</span> 2042C&gt;T polymorphism, related to lower serum levels of <span class=""gene"" id=""16854501-8-94-112"">C-reactive protein</span>, was associated with a lower risk of <span class=""disease"" id=""16854501-8-150-158"">dementia</span> and AD."	16854501.0	2007.0
Dementia	C0497327	APOE	348	0.2	Biomarker		BEFREE	"Similarly, excluding future <span class=""disease"" id=""23276211-12-28-36"">dementia</span> cases attenuated the effects of <span class=""gene"" id=""23276211-12-69-73"">APOE</span> on episodic memory and global cognition, suggesting that part of the effects of <span class=""gene"" id=""23276211-12-154-158"">APOE</span> on old-age cognitive performance may be driven by <span class=""disease"" id=""23276211-12-209-217"">dementia</span>-related processes."	23276211.0	2013.0
Dementia	C0497327	SERPINA3	12	0.07	GeneticVariation		LHGDN	"Post-stroke <span class=""disease"" id=""15935385-0-12-20"">dementia</span> is associated with <span class=""gene"" id=""15935385-0-40-65"">alpha(1)-antichymotrypsin</span> polymorphism."	15935385.0	2005.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"<span class=""gene"" id=""15932949-2-0-16"">Apolipoprotein E</span> (<span class=""gene"" id=""15932949-2-18-22"">APOE</span>) epsilon4 gene dose (i.e., the number of epsilon4 alleles in a person's <span class=""gene"" id=""15932949-2-95-99"">APOE</span> genotype) is associated with a higher risk of AD and a younger age at <span class=""disease"" id=""15932949-2-170-178"">dementia</span> onset."	15932949.0	2005.0
Dementia	C0497327	MCIDAS	345643	0.1	Biomarker		BEFREE	"We performed a systematic literature review on Subjective Cognitive Decline (SCD) in order to examine whether the resemblance of brain connectome and functional connectivity (FC) alterations in SCD with respect to <span class=""gene"" id=""31401485-1-214-217"">MCI</span>, AD and HC can help us draw conclusions on the progression of SCD to more advanced stages of <span class=""disease"" id=""31401485-1-311-319"">dementia</span>."	31401485.0	2019.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"<span class=""gene"" id=""24411483-0-0-16"">Apolipoprotein E</span> epsilon 4 allele is associated with ventricular expansion rate and surface morphology in <span class=""disease"" id=""24411483-0-106-114"">dementia</span> and normal aging."	24411483.0	2014.0
Dementia	C0497327	TREM2	54209	0.7	GeneticVariation		BEFREE	"Homozygous loss-of-function mutations in <span class=""gene"" id=""23150934-1-41-46"">TREM2</span>, encoding the <span class=""gene"" id=""23150934-1-61-109"">triggering receptor expressed on myeloid cells 2</span> protein, have previously been associated with an autosomal recessive form of early-onset <span class=""disease"" id=""23150934-1-199-207"">dementia</span>."	23150934.0	2013.0
Dementia	C0497327	NPS	594857	0.01	Biomarker		BEFREE	"To identify determinants within 3 different domains (ie, somatic comorbidities, cognitive functioning, and neuropsychiatric symptoms [<span class=""gene"" id=""31645191-1-134-137"">NPS</span>]) of health-related quality of life (HRQoL) over time in memory clinic patients without <span class=""disease"" id=""31645191-1-226-234"">dementia</span>."	31645191.0	2019.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"Elderly patients with diabetes develop more extensive vascular pathology, which alone or together with AD-type pathology (particularly in <span class=""gene"" id=""20739645-11-138-142"">APOE</span> ε4 carriers) results in increased <span class=""disease"" id=""20739645-11-177-185"">dementia</span> risk."	20739645.0	2010.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"Cumulative incidence graphs supported these findings, with an increased risk of <span class=""disease"" id=""30180830-12-80-88"">dementia</span> for <span class=""gene"" id=""30180830-12-93-100"">APOE ɛ4</span> carriers compared with non-carriers."	30180830.0	2018.0
Dementia	C0497327	ND5	4540	0.1	Biomarker		HPO			
Dementia	C0497327	DYM	54808	0.01	Biomarker		BEFREE	"Efforts to minimize childhood poverty may diminish or delay the onset of <span class=""gene"" id=""31317850-8-73-76"">SMC</span> and <span class=""disease"" id=""31317850-8-81-89"">dementia</span> in later life."	31317850.0	2019.0
Dementia	C0497327	RAPGEF5	9771	0.01	Biomarker		BEFREE	"A total of 644 people (47.8%) had chronic kidney disease (estimated <span class=""gene"" id=""28498634-7-68-71"">GFR</span> &lt; 60 mL/min/1.73m&lt;sup&gt;2&lt;/sup&gt; ) and 60 people (4.35%) had <span class=""disease"" id=""28498634-7-130-138"">dementia</span>."	28498634.0	2017.0
Dementia	C0497327	H3P11	115482708	0.01	Biomarker		BEFREE	"We also characterised the effects of hippocampal CA1 injection of <span class=""gene"" id=""30390010-4-66-69"">p17</span> on epidermal growth factor receptor-1 (EGFR1) expression linked to our murine model of <span class=""disease"" id=""30390010-4-157-165"">dementia</span>. <span class=""gene"" id=""30390010-4-167-170"">p17</span> strongly induced angiogenesis of HbMEC (migration, tube formation and spheroid growth). <span class=""gene"" id=""30390010-4-259-262"">p17</span> concomitantly increased phosphorylation of EGFR1 as well as down-stream intermediates ERK1/2, FAK, PLC-γ and PKC-β whilst an inhibitor peptide of EGFR, blocked cell signalling and angiogenesis."	30390010.0	2019.0
Dementia	C0497327	APOE	348	0.2	Biomarker		BEFREE	"The current study examined the effect of <span class=""gene"" id=""11445269-3-41-45"">APOE</span> on cognitive function over time in elderly without <span class=""disease"" id=""11445269-3-97-105"">dementia</span>."	11445269.0	2001.0
Dementia	C0497327	LEP	3952	0.06	Biomarker		BEFREE	"Association of adiponectin, <span class=""gene"" id=""28421328-0-28-34"">leptin</span> and resistin with inflammatory markers and obesity in <span class=""disease"" id=""28421328-0-89-97"">dementia</span>."	28421328.0	2017.0
